"Estimate","Std. Error","t value","Pr(>|t|)"
-5.89167430964575,29.3865000512604,-0.200489146355251,0.841137740350418
2.61224473240283,38.4904395528104,0.0678673655783723,0.945904427642789
-1.25278104970836,39.8571248061028,-0.0314317968444261,0.974931290630422
2.42511740279687,39.8830127012705,0.0608057726471506,0.951525723373704
2.04187615572503,39.8625450131118,0.0512229250554226,0.959157844954368
-2.14303356916628,39.8572716902773,-0.0537676935295361,0.95713070602391
-8.15765257317588,39.8567738068684,-0.204674181927141,0.837867248167759
-19.9310018203485,39.8613251072633,-0.500008511175079,0.617176198393273
-30.9138168847618,39.857062205932,-0.775617046862045,0.438153693442716
-33.6985873932136,39.8777447692908,-0.845047471670573,0.398281154666953
-35.1726685772386,39.8690690678373,-0.882204410576837,0.377872711360459
-31.0048869801541,39.8569676928364,-0.777903808917373,0.436804889081707
